Race,Driver,LapTime,Max_Speed,Avg_Speed,Avg_Throttle,Brake_Percentage,Avg_RPM,Max_RPM,DRS_Usage
Monaco,VER,76.604,270.0,154.46638630275356,47.761063460825824,24.74048442906574,9337.048061141682,11756.0,0.0
Monaco,LEC,75.773,286.0,157.92959516382885,56.319884184500985,30.017452006980804,9581.007905546356,12085.0,0.0
Monaco,ALO,76.674,284.0,154.20736578116475,48.64972044421294,28.10344827586207,9343.251614438634,11819.0,0.0
Monza,VER,85.24,329.0,242.00768098906394,72.779266402302,15.96244131455399,10389.636531273658,11898.0,0.0
Monza,LEC,85.58,340.0,242.37074019779095,74.9423708748543,15.109034267912772,10644.125339432,12088.0,23.20872274143302
Monza,ALO,86.105,334.0,240.06564414352525,75.08553222676872,14.088820826952528,10672.088527638098,12300.0,0.0
Silverstone,VER,90.275,298.0,230.99941891856324,74.43984629563121,13.525179856115107,10407.216826731215,11808.0,0.0
Silverstone,LEC,91.255,326.0,228.7897927022482,72.59528132467331,16.312056737588655,10289.535881901451,12182.0,29.078014184397162
Silverstone,ALO,91.338,318.0,229.24362708044538,71.09324802013886,13.75886524822695,10348.2332417316,11698.0,30.070921985815602
